SN Ref,HAB,POL,AIR,CLI,WQN,WQL,SOI,HAZ,ORG,NRG,FOD,MAT,MED,INS,EXP,IDE,OPT
SN 117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 119,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
SN 120,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
SN 121,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
SN 122,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
SN 123,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0
SN 124,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
SN 125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SN 127,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
SN 128,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
SN 129,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
SN 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SN 131,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0
SN 132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN 133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SN 134,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
SN 135,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
SN 136,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SN 137,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SN 138,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
SN 139,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
SN 140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SN 141,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0
SN 142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SUM,70,9,10,28,48,25,39,24,21,61,83,65,40,9,45,39,2
